Microsoft (R) COFF/PE Dumper Version 9.00.30729.01
         48   2F 00043410 BasepAnsiStringToDynamicUnicodeString = BasepAnsiStringToDynamicUnicodeString
         49   30 00088D00 BasepCheckAppCompat = BasepCheckAppCompat
         50   31 0001CCC0 BasepCheckBadapp = BasepCheckBadapp
         51   32 0001C730 BasepCheckWinSaferRestrictions = BasepCheckWinSaferRestrictions
         52   33 00056F00 BasepFreeActivationContextActivationBlock = BasepFreeActivationContextActivationBlock
         53   34 0005B5D0 BasepFreeAppCompatData = BasepFreeAppCompatData
         54   35 00005BA0 BasepMapModuleHandle = BasepMapModuleHandle
         55   36 00067A40 Beep = BeepImplementation
         56   37 0008E290 BeginUpdateResourceA = BeginUpdateResourceA
         57   38 00086D60 BeginUpdateResourceW = BeginUpdateResourceW
         58   39 00048080 BindIoCompletionCallback = BindIoCompletionCallback
         59   3A 00070810 BuildCommDCBA = BuildCommDCBA
         60   3B 000708B0 BuildCommDCBAndTimeoutsA = BuildCommDCBAndTimeoutsA
         61   3C 000708E0 BuildCommDCBAndTimeoutsW = BuildCommDCBAndTimeoutsW
         62   3D 00070840 BuildCommDCBW = BuildCommDCBW
         63   3E 00062C10 CallNamedPipeA = CallNamedPipeA
         64   3F 00062A60 CallNamedPipeW = CallNamedPipeW
         65   40 0000BD40 CallbackMayRunLong = CallbackMayRunLongStub
         66   41 0004D250 CancelDeviceWakeupRequest = CancelDeviceWakeupRequest
         67   42 000503F0 CancelIo = CancelIo
         68   43 0004CAC0 CancelIoEx = CancelIoExStub
         69   44 00050420 CancelSynchronousIo = CancelSynchronousIo
         70   45          CancelThreadpoolIo (forwarded to NTDLL.TpCancelAsyncIoOperation)
         71   46 00047FD0 CancelTimerQueueTimer = CancelTimerQueueTimer
         72   47 00009430 CancelWaitableTimer = CancelWaitableTimerStub
         73   48 0000A7F0 ChangeTimerQueueTimer = ChangeTimerQueueTimerStub
         74   49 00097390 CheckElevation = CheckElevation
         75   4A 00050A80 CheckElevationEnabled = CheckElevationEnabled
         76   4B 0004B950 CheckForReadOnlyResource = CheckForReadOnlyResource
         77   4C 00061CA0 CheckNameLegalDOS8Dot3A = CheckNameLegalDOS8Dot3A
         78   4D 0004D3A0 CheckNameLegalDOS8Dot3W = CheckNameLegalDOS8Dot3W
         79   4E 00051230 CheckRemoteDebuggerPresent = CheckRemoteDebuggerPresent
         80   4F 0004AB30 ClearCommBreak = ClearCommBreak
         81   50 0004A990 ClearCommError = ClearCommError
         82   51 00042700 CloseConsoleHandle = CloseConsoleHandle
         83   52 00022C00 CloseHandle = CloseHandleImplementation
         84   53 00072FE0 ClosePrivateNamespace = ClosePrivateNamespace
         85   54 000445A0 CloseProfileUserMapping = OpenProfileUserMapping
         86   55          CloseThreadpool (forwarded to NTDLL.TpReleasePool)
         87   56          CloseThreadpoolCleanupGroup (forwarded to NTDLL.TpReleaseCleanupGroup)
         88   57          CloseThreadpoolCleanupGroupMembers (forwarded to NTDLL.TpReleaseCleanupGroupMembers)
         89   58          CloseThreadpoolIo (forwarded to NTDLL.TpReleaseIoCompletion)
         90   59          CloseThreadpoolTimer (forwarded to NTDLL.TpReleaseTimer)
         91   5A          CloseThreadpoolWait (forwarded to NTDLL.TpReleaseWait)
         92   5B          CloseThreadpoolWork (forwarded to NTDLL.TpReleaseWork)
         93   5C 0000CDA0 CmdBatNotification = CmdBatNotification
         94   5D 00087C10 CommConfigDialogA = CommConfigDialogA
         95   5E 0007FC80 CommConfigDialogW = CommConfigDialogW
         96   5F 00096950 CompareCalendarDates = CompareCalendarDates
         97   60 00016190 CompareFileTime = CompareFileTimeStub
         98   61 0000EF80 CompareStringA = CompareStringAStub
         99   62 0004BEA0 CompareStringEx = CompareStringExStub
        100   63 0001A400 CompareStringOrdinal = CompareStringOrdinalStub
        101   64 00016260 CompareStringW = CompareStringWStub
        102   65 00001EC0 ConnectNamedPipe = ConnectNamedPipeStub
        103   66 00042410 ConsoleMenuControl = ConsoleMenuControl
        104   67 00077770 ContinueDebugEvent = ContinueDebugEvent
        105   68 00096A00 ConvertCalDateTimeToSystemTime = ConvertCalDateTimeToSystemTime
        106   69 00019B20 ConvertDefaultLocale = ConvertDefaultLocaleStub
        107   6A 0000A020 ConvertFiberToThread = ConvertFiberToThread
        108   6B 00047500 ConvertNLSDayOfWeekToWin32DayOfWeek = ConvertNLSDayOfWeekToWin32DayOfWeek
        109   6C 00090C50 ConvertSystemTimeToCalDateTime = ConvertSystemTimeToCalDateTime
        110   6D 0000A120 ConvertThreadToFiber = ConvertThreadToFiber
        111   6E 0000A130 ConvertThreadToFiberEx = ConvertThreadToFiberEx
        112   6F 00047E30 CopyExtendedContext = CopyExtendedContext
        113   70 00095510 CopyFileA = CopyFileA
        114   71 000952C0 CopyFileExA = CopyFileExA
        115   72 00013900 CopyFileExW = CopyFileExW
        116   73 00095440 CopyFileTransactedA = CopyFileTransactedA
        117   74 00095370 CopyFileTransactedW = CopyFileTransactedW
        118   75 0000AAD0 CopyFileW = CopyFileW
        119   76 0008F960 CopyLZFile = CopyLZFile
        120   77 0006FC90 CreateActCtxA = CreateActCtxA
        121   78 00003640 CreateActCtxW = CreateActCtxW
        122   79 000610F0 CreateBoundaryDescriptorA = CreateBoundaryDescriptorA
        123   7A 0004B830 CreateBoundaryDescriptorW = CreateBoundaryDescriptorW
        124   7B 000418B0 CreateConsoleScreenBuffer = CreateConsoleScreenBuffer
        125   7C 0004CAB0 CreateDirectoryA = CreateDirectoryAStub
        126   7D 00089F30 CreateDirectoryExA = CreateDirectoryExA
        127   7E 00088FF0 CreateDirectoryExW = CreateDirectoryExW
        128   7F 0008A080 CreateDirectoryTransactedA = CreateDirectoryTransactedA
        129   80 00089FB0 CreateDirectoryTransactedW = CreateDirectoryTransactedW
        130   81 0000C580 CreateDirectoryW = CreateDirectoryWStub
        131   82 0000F070 CreateEventA = CreateEventAStub
        132   83 0004CAA0 CreateEventExA = CreateEventExAStub
        133   84 0004CA90 CreateEventExW = CreateEventExWStub
        134   85 000156B0 CreateEventW = CreateEventWStub
        135   86 0000A250 CreateFiber = CreateFiber
        136   87 0000A280 CreateFiberEx = CreateFiberEx
        137   88 00022F90 CreateFileA = CreateFileA
        138   89 0000E720 CreateFileMappingA = CreateFileMappingA
        139   8A 00065240 CreateFileMappingNumaA = CreateFileMappingNumaA
        140   8B 0004CA50 CreateFileMappingNumaW = CreateFileMappingNumaWStub
        141   8C 0000E9F0 CreateFileMappingW = CreateFileMappingWStub
        142   8D 00075A30 CreateFileTransactedA = CreateFileTransactedA
        143   8E 000332D0 CreateFileTransactedW = CreateFileTransactedW
        144   8F 00012A30 CreateFileW = CreateFileWImplementation
        145   90 0005BCC0 CreateHardLinkA = CreateHardLinkA
        146   91 0005BE20 CreateHardLinkTransactedA = CreateHardLinkTransactedA
        147   92 0005BD60 CreateHardLinkTransactedW = CreateHardLinkTransactedW
        148   93 0005B9C0 CreateHardLinkW = CreateHardLinkW
        149   94 00006AF0 CreateIoCompletionPort = CreateIoCompletionPortStub
        150   95 0005C210 CreateJobObjectA = CreateJobObjectA
        151   96 0005C180 CreateJobObjectW = CreateJobObjectW
        152   97 00048CD0 CreateJobSet = CreateJobSet
        153   98 00007730 CreateMailslotA = CreateMailslotA
        154   99 000077A0 CreateMailslotW = CreateMailslotW
        155   9A 000480B0 CreateMemoryResourceNotification = CreateMemoryResourceNotification
        156   9B 00016C60 CreateMutexA = CreateMutexAStub
        157   9C 0004CA40 CreateMutexExA = CreateMutexExAStub
        158   9D 0004CA30 CreateMutexExW = CreateMutexExWStub
        159   9E 0000F0B0 CreateMutexW = CreateMutexWStub
        160   9F 00062DE0 CreateNamedPipeA = CreateNamedPipeA
        161   A0 00002330 CreateNamedPipeW = CreateNamedPipeWStub
        162   A1 00005F00 CreatePipe = CreatePipeStub
        163   A2 0007FE70 CreatePrivateNamespaceA = CreatePrivateNamespaceA
        164   A3 00073100 CreatePrivateNamespaceW = CreatePrivateNamespaceW
        165   A4 00098730 CreateProcessA = CreateProcessA
        166   A5 0000B3D0 CreateProcessAsUserW = CreateProcessAsUserW
        167   A6 00097A60 CreateProcessInternalA = CreateProcessInternalA
        168   A7 0001A600 CreateProcessInternalW = CreateProcessInternalW
        169   A8 0001E7B0 CreateProcessW = CreateProcessW
        170   A9 0004C9F0 CreateRemoteThread = CreateRemoteThreadStub
        171   AA          CreateRemoteThreadEx (forwarded to api-ms-win-core-processthreads-l1-1-0.CreateRemoteThreadEx)
        172   AB 000103A0 CreateSemaphoreA = CreateSemaphoreA
        173   AC 000103D0 CreateSemaphoreExA = CreateSemaphoreExA
        174   AD 0004C9C0 CreateSemaphoreExW = CreateSemaphoreExWStub
        175   AE 0000AD40 CreateSemaphoreW = CreateSemaphoreW
        176   AF 00075F50 CreateSymbolicLinkA = CreateSymbolicLinkA
        177   B0 000760B0 CreateSymbolicLinkTransactedA = CreateSymbolicLinkTransactedA
        178   B1 00075FF0 CreateSymbolicLinkTransactedW = CreateSymbolicLinkTransactedW
        179   B2 00075AF0 CreateSymbolicLinkW = CreateSymbolicLinkW
        180   B3 0008E440 CreateTapePartition = CreateTapePartition
        181   B4 00016210 CreateThread = CreateThreadStub
        182   B5 0004BFB0 CreateThreadpool = CreateThreadpoolStub
        183   B6 00033030 CreateThreadpoolCleanupGroup = CreateThreadpoolCleanupGroupStub
        184   B7 000731E0 CreateThreadpoolIo = CreateThreadpoolIoStub
        185   B8 0000BD10 CreateThreadpoolTimer = CreateThreadpoolTimerStub
        186   B9 0004BFA0 CreateThreadpoolWait = CreateThreadpoolWaitStub
        187   BA 0000A6A0 CreateThreadpoolWork = CreateThreadpoolWorkStub
        188   BB 0004C9B0 CreateTimerQueue = CreateTimerQueueStub
        189   BC 00009FC0 CreateTimerQueueTimer = CreateTimerQueueTimerStub
        190   BD 00001FD0 CreateToolhelp32Snapshot = CreateToolhelp32Snapshot
        191   BE 000495C0 CreateUmsCompletionList = CreateUmsCompletionList
        192   BF 00049390 CreateUmsThreadContext = CreateUmsThreadContext
        193   C0 00061050 CreateWaitableTimerA = CreateWaitableTimerA
        194   C1 00060FC0 CreateWaitableTimerExA = CreateWaitableTimerExA
        195   C2 0004C9A0 CreateWaitableTimerExW = CreateWaitableTimerExWStub
        196   C3 0004B7A0 CreateWaitableTimerW = CreateWaitableTimerW
        197   C4 00054920 CtrlRoutine = CtrlRoutine
        198   C5 00004470 DeactivateActCtx = DeactivateActCtx
        199   C6 00066C40 DebugActiveProcess = DebugActiveProcess
        200   C7 00077710 DebugActiveProcessStop = DebugActiveProcessStop
        201   C8 0004C990 DebugBreak = DebugBreakStub
        202   C9 00051180 DebugBreakProcess = DebugBreakProcess
        203   CA 00051120 DebugSetProcessKillOnExit = DebugSetProcessKillOnExit
        204   CB          DecodePointer (forwarded to NTDLL.RtlDecodePointer)
        205   CC          DecodeSystemPointer (forwarded to NTDLL.RtlDecodeSystemPointer)
        206   CD 00065A70 DefineDosDeviceA = DefineDosDeviceA
        207   CE 0004C980 DefineDosDeviceW = DefineDosDeviceWStub
        208   CF 00058C10 DelayLoadFailureHook = DelayLoadFailureHook
        209   D0 00066B10 DeleteAtom = DeleteAtom
        210   D1          DeleteBoundaryDescriptor (forwarded to NTDLL.RtlDeleteBoundaryDescriptor)
        211   D2          DeleteCriticalSection (forwarded to NTDLL.RtlDeleteCriticalSection)
        212   D3 0000A090 DeleteFiber = DeleteFiber
        213   D4 00010730 DeleteFileA = DeleteFileAStub
        214   D5 00065140 DeleteFileTransactedA = DeleteFileTransactedA
        215   D6 000500B0 DeleteFileTransactedW = DeleteFileTransactedW
        216   D7 0000C5A0 DeleteFileW = DeleteFileWStub
        217   D8          DeleteProcThreadAttributeList (forwarded to api-ms-win-core-processthreads-l1-1-0.DeleteProcThreadAttributeList)
        218   D9 00048000 DeleteTimerQueue = DeleteTimerQueue
        219   DA 0004C970 DeleteTimerQueueEx = DeleteTimerQueueExStub
        220   DB 0000A000 DeleteTimerQueueTimer = DeleteTimerQueueTimerStub
        221   DC 000494C0 DeleteUmsCompletionList = DeleteUmsCompletionList
        222   DD 000493C0 DeleteUmsThreadContext = DeleteUmsThreadContext
        223   DE 00070950 DeleteVolumeMountPointA = DeleteVolumeMountPointA
        224   DF 00073280 DeleteVolumeMountPointW = DeleteVolumeMountPointWStub
        225   E0 00049580 DequeueUmsCompletionListItems = DequeueUmsCompletionListItems
        226   E1 00016090 DeviceIoControl = DeviceIoControlImplementation
        227   E2 00020BA0 DisableThreadLibraryCalls = DisableThreadLibraryCallsStub
        228   E3 00047D70 DisableThreadProfiling = DisableThreadProfiling
        229   E4          DisassociateCurrentThreadFromCallback (forwarded to NTDLL.TpDisassociateCallback)
        230   E5 0004C960 DisconnectNamedPipe = DisconnectNamedPipeStub
        231   E6 00051890 DnsHostnameToComputerNameA = DnsHostnameToComputerNameA
        232   E7 0000A9F0 DnsHostnameToComputerNameW = DnsHostnameToComputerNameW
        233   E8 000514D0 DosDateTimeToFileTime = DosDateTimeToFileTime
        234   E9 000616A0 DosPathToSessionPathA = DosPathToSessionPathA
        235   EA 00061520 DosPathToSessionPathW = DosPathToSessionPathW
        236   EB 00042660 DuplicateConsoleHandle = DuplicateConsoleHandle
        237   EC 00015E60 DuplicateHandle = DuplicateHandleImplementation
        238   ED 00047DA0 EnableThreadProfiling = EnableThreadProfiling
        239   EE          EncodePointer (forwarded to NTDLL.RtlEncodePointer)
        240   EF          EncodeSystemPointer (forwarded to NTDLL.RtlEncodeSystemPointer)
        241   F0 00095EF0 EndUpdateResourceA = EndUpdateResourceA
        242   F1 00095CB0 EndUpdateResourceW = EndUpdateResourceW
        243   F2          EnterCriticalSection (forwarded to NTDLL.RtlEnterCriticalSection)
        244   F3 00049360 EnterUmsSchedulingMode = EnterUmsSchedulingMode
        245   F4 00047390 EnumCalendarInfoA = EnumCalendarInfoA
        246   F5 00047300 EnumCalendarInfoExA = EnumCalendarInfoExA
        247   F6 0004BE70 EnumCalendarInfoExEx = EnumCalendarInfoExExStub
        248   F7 0004C950 EnumCalendarInfoExW = EnumCalendarInfoExWStub
        249   F8 0004C940 EnumCalendarInfoW = EnumCalendarInfoWStub
        250   F9 00047230 EnumDateFormatsA = EnumDateFormatsA
        251   FA 000471D0 EnumDateFormatsExA = EnumDateFormatsExA
        252   FB 0004BE60 EnumDateFormatsExEx = EnumDateFormatsExExStub
        253   FC 0004C930 EnumDateFormatsExW = EnumDateFormatsExWStub
        254   FD 0004C920 EnumDateFormatsW = EnumDateFormatsWStub
        255   FE 000471A0 EnumLanguageGroupLocalesA = EnumLanguageGroupLocalesA
        256   FF 0004C910 EnumLanguageGroupLocalesW = EnumLanguageGroupLocalesWStub
        257  100 00088190 EnumResourceLanguagesA = EnumResourceLanguagesA
        258  101 0007FF60 EnumResourceLanguagesExA = EnumResourceLanguagesExA
        259  102 00080030 EnumResourceLanguagesExW = EnumResourceLanguagesExW
        260  103 000881C0 EnumResourceLanguagesW = EnumResourceLanguagesW
        261  104 000881F0 EnumResourceNamesA = EnumResourceNamesA
        262  105 00080070 EnumResourceNamesExA = EnumResourceNamesExA
        263  106 00019D20 EnumResourceNamesExW = EnumResourceNamesExW
        264  107 00088220 EnumResourceNamesW = EnumResourceNamesW
        265  108 00088250 EnumResourceTypesA = EnumResourceTypesA
        266  109 00080100 EnumResourceTypesExA = EnumResourceTypesExA
        267  10A 00080130 EnumResourceTypesExW = EnumResourceTypesExW
        268  10B 00088280 EnumResourceTypesW = EnumResourceTypesW
        269  10C 00047180 EnumSystemCodePagesA = EnumSystemCodePagesA
        270  10D 0004C900 EnumSystemCodePagesW = EnumSystemCodePagesWStub
        271  10E 000639B0 EnumSystemFirmwareTables = EnumSystemFirmwareTables
        272  10F 0005A310 EnumSystemGeoID = EnumSystemGeoID
        273  110 000471C0 EnumSystemLanguageGroupsA = EnumSystemLanguageGroupsA
        274  111 0004C8F0 EnumSystemLanguageGroupsW = EnumSystemLanguageGroupsWStub
        275  112 0004C8E0 EnumSystemLocalesA = EnumSystemLocalesAStub
        276  113 0004C8D0 EnumSystemLocalesEx = EnumSystemLocalesExStub
        277  114 0004C8C0 EnumSystemLocalesW = EnumSystemLocalesWStub
        278  115 00047290 EnumTimeFormatsA = EnumTimeFormatsA
        279  116 0004BE50 EnumTimeFormatsEx = EnumTimeFormatsExStub
        280  117 0004C8B0 EnumTimeFormatsW = EnumTimeFormatsWStub
        281  118 00047190 EnumUILanguagesA = EnumUILanguagesA
        282  119 0004C8A0 EnumUILanguagesW = EnumUILanguagesWStub
        283  11A 0008F970 EnumerateLocalComputerNamesA = EnumerateLocalComputerNamesA
        284  11B 0008A130 EnumerateLocalComputerNamesW = EnumerateLocalComputerNamesW
        285  11C 0008E480 EraseTape = EraseTape
        286  11D 0004A730 EscapeCommFunction = EscapeCommFunction
        287  11E 00049520 ExecuteUmsThread = ExecuteUmsThread
        288  11F          ExitProcess (forwarded to NTDLL.RtlExitUserProcess)
        289  120          ExitThread (forwarded to NTDLL.RtlExitUserThread)
        290  121 0005E640 ExitVDM = ExitVDM
        291  122 00006F70 ExpandEnvironmentStringsA = ExpandEnvironmentStringsAStub
        292  123 00016060 ExpandEnvironmentStringsW = ExpandEnvironmentStringsWStub
        293  124 0006AC90 ExpungeConsoleCommandHistoryA = ExpungeConsoleCommandHistoryA
        294  125 0006ACA0 ExpungeConsoleCommandHistoryW = ExpungeConsoleCommandHistoryW
        295  126 0004BF20 FatalAppExitA = FatalAppExitAStub
        296  127 0004BF10 FatalAppExitW = FatalAppExitWStub
        297  128 0004D160 FatalExit = FatalExit
        298  129 00051580 FileTimeToDosDateTime = FileTimeToDosDateTime
        299  12A 0000C8C0 FileTimeToLocalFileTime = FileTimeToLocalFileTimeStub
        300  12B 0000C850 FileTimeToSystemTime = FileTimeToSystemTimeStub
        301  12C 00054BD0 FillConsoleOutputAttribute = FillConsoleOutputAttribute
        302  12D 00054C30 FillConsoleOutputCharacterA = FillConsoleOutputCharacterA
        303  12E 00054C00 FillConsoleOutputCharacterW = FillConsoleOutputCharacterW
        304  12F 00015430 FindActCtxSectionGuid = FindActCtxSectionGuid
        305  130 0006FBF0 FindActCtxSectionStringA = FindActCtxSectionStringA
        306  131 00021FB0 FindActCtxSectionStringW = FindActCtxSectionStringW
        307  132 00005220 FindAtomA = FindAtomA
        308  133 00018070 FindAtomW = FindAtomW
        309  134 00015530 FindClose = FindCloseStub
        310  135 0004C890 FindCloseChangeNotification = FindCloseChangeNotificationStub
        311  136 0004C840 FindFirstChangeNotificationA = FindFirstChangeNotificationAStub
        312  137 00004350 FindFirstChangeNotificationW = FindFirstChangeNotificationWStub
        313  138 0004C880 FindFirstFileA = FindFirstFileAStub
        314  139 0004C850 FindFirstFileExA = FindFirstFileExAStub
        315  13A 00017FC0 FindFirstFileExW = FindFirstFileExWStub
        316  13B 00076670 FindFirstFileNameTransactedW = FindFirstFileNameTransactedW
        317  13C 00076270 FindFirstFileNameW = FindFirstFileNameW
        318  13D 00050680 FindFirstFileTransactedA = FindFirstFileTransactedA
        319  13E 000505B0 FindFirstFileTransactedW = FindFirstFileTransactedW
        320  13F 000195E0 FindFirstFileW = FindFirstFileWStub
        321  140 00076B20 FindFirstStreamTransactedW = FindFirstStreamTransactedW
        322  141 00076730 FindFirstStreamW = FindFirstStreamW
        323  142 0005D4E0 FindFirstVolumeA = FindFirstVolumeA
        324  143 00070FA0 FindFirstVolumeMountPointA = FindFirstVolumeMountPointA
        325  144 00070D60 FindFirstVolumeMountPointW = FindFirstVolumeMountPointW
        326  145 00061510 FindFirstVolumeW = FindFirstVolumeWStub
        327  146 0004C7D0 FindNLSString = FindNLSStringStub
        328  147 0004BDF0 FindNLSStringEx = FindNLSStringExStub
        329  148 0004C830 FindNextChangeNotification = FindNextChangeNotificationStub
        330  149 0004C820 FindNextFileA = FindNextFileAStub
        331  14A 000761A0 FindNextFileNameW = FindNextFileNameW
        332  14B 00012E40 FindNextFileW = FindNextFileWStub
        333  14C 00050520 FindNextStreamW = FindNextStreamW
        334  14D 0005D350 FindNextVolumeA = FindNextVolumeA
        335  14E 00070BD0 FindNextVolumeMountPointA = FindNextVolumeMountPointA
        336  14F 00070BC0 FindNextVolumeMountPointW = FindNextVolumeMountPointW
        337  150 0004C810 FindNextVolumeW = FindNextVolumeWStub
        338  151 00005F20 FindResourceA = FindResourceA
        339  152 00005F40 FindResourceExA = FindResourceExA
        340  153 00019680 FindResourceExW = FindResourceExWStub
        341  154 00019640 FindResourceW = FindResourceW
        342  155 0004C7A0 FindStringOrdinal = FindStringOrdinalStub
        343  156 00061500 FindVolumeClose = FindVolumeCloseStub
        344  157 0005CBC0 FindVolumeMountPointClose = FindVolumeMountPointClose
        345  158 00020CE0 FlsAlloc = FlsAllocStub
        346  159 00012B80 FlsFree = FlsFreeStub
        347  15A 00023210 FlsGetValue = FlsGetValueStub
        348  15B 000204F0 FlsSetValue = FlsSetValueStub
        349  15C 0000CEB0 FlushConsoleInputBuffer = FlushConsoleInputBuffer
        350  15D 00033210 FlushFileBuffers = FlushFileBuffersImplementation
        351  15E 00004580 FlushInstructionCache = FlushInstructionCache
        352  15F          FlushProcessWriteBuffers (forwarded to NTDLL.NtFlushProcessWriteBuffers)
        353  160 0004C790 FlushViewOfFile = FlushViewOfFileStub
        354  161 0006E930 FoldStringA = FoldStringA
        355  162 0004C770 FoldStringW = FoldStringWStub
        356  163 0004C730 FormatMessageA = FormatMessageAStub
        357  164 00014D60 FormatMessageW = FormatMessageWStub
        358  165 0006AB30 FreeConsole = FreeConsole
        359  166 0004C720 FreeEnvironmentStringsA = FreeEnvironmentStringsAStub
        360  167 00021A50 FreeEnvironmentStringsW = FreeEnvironmentStringsWStub
        361  168 00015CD0 FreeLibrary = FreeLibraryStub
        362  169 00006A20 FreeLibraryAndExitThread = FreeLibraryAndExitThreadStub
        363  16A          FreeLibraryWhenCallbackReturns (forwarded to NTDLL.TpCallbackUnloadDllOnCompletion)
        364  16B 00006DB0 FreeResource = FreeResourceStub
        365  16C 000481C0 FreeUserPhysicalPages = FreeUserPhysicalPages
        366  16D 00041340 GenerateConsoleCtrlEvent = GenerateConsoleCtrlEvent
        367  16E 00020AC0 GetACP = GetACPStub
        368  16F 00004F50 GetActiveProcessorCount = GetActiveProcessorCount
        369  170 00073340 GetActiveProcessorGroupCount = GetActiveProcessorGroupCount
        370  171 0007F470 GetApplicationRecoveryCallback = GetApplicationRecoveryCallback
        371  172 0007F460 GetApplicationRestartSettings = GetApplicationRestartSettings
        372  173 00066AE0 GetAtomNameA = GetAtomNameA
        373  174 00066A90 GetAtomNameW = GetAtomNameW
        374  175 0005F4A0 GetBinaryType = GetBinaryTypeA
        375  176 0005F4A0 GetBinaryTypeA = GetBinaryTypeA
        376  177 0005F100 GetBinaryTypeW = GetBinaryTypeW
        377  178 000219D0 GetCPInfo = GetCPInfoStub
        378  179 0005A570 GetCPInfoExA = GetCPInfoExA
        379  17A 0004C710 GetCPInfoExW = GetCPInfoExWStub
        380  17B 00096AB0 GetCalendarDateFormat = GetCalendarDateFormat
        381  17C 00096550 GetCalendarDateFormatEx = GetCalendarDateFormatEx
        382  17D 00086A50 GetCalendarDaysInMonth = GetCalendarDaysInMonth
        383  17E 00096850 GetCalendarDifferenceInDays = GetCalendarDifferenceInDays
        384  17F 0005A620 GetCalendarInfoA = GetCalendarInfoA
        385  180 00033D44 GetCalendarInfoEx = GetCalendarInfoEx
        386  181 00033D50 GetCalendarInfoW = GetCalendarInfoW
        387  182 0007E760 GetCalendarMonthsInYear = GetCalendarMonthsInYear
        388  183 0006F4A0 GetCalendarSupportedDateRange = GetCalendarSupportedDateRange
        389  184 000971A0 GetCalendarWeekNumber = GetCalendarWeekNumber
        390  185 00048A90 GetComPlusPackageInstallStatus = GetComPlusPackageInstallStatus
